matchTimestamp,type.primary,type.secondary,player.name,team.name,pass.recipient.name
01:18:12.953,pass,"['lateral_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,N. Ivelj
01:18:16.293,pass,"['lateral_pass', 'short_or_medium_pass']",N. Ivelj,Grasshopper,E. Pápai
01:18:20.396,pass,"['back_pass', 'short_or_medium_pass', 'under_pressure']",E. Pápai,Grasshopper,I. Rutishauser
01:18:24.878,pass,"['lateral_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,Marta Cazalla
01:18:28.616,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass']",Marta Cazalla,Grasshopper,K. Wienerroither
01:18:35.354,pass,"['lateral_pass', 'short_or_medium_pass']",J. Stierli,Zürich,L. Vetterlein
01:18:42.134,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass']",L. Vetterlein,Zürich,I. Pando
01:18:49.269,pass,"['back_pass', 'cross', 'loss', 'touch_in_box']",I. Pando,Zürich,V. Laino
01:19:07.383,pass,"['forward_pass', 'long_pass', 'progressive_pass']",N. Ivelj,Grasshopper,
01:19:21.493,pass,"['lateral_pass', 'short_or_medium_pass']",J. Stierli,Zürich,S. Friedli
01:19:25.380,pass,"['lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,N. Mégroz
